"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","0.96",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.61",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","COTTON","COTTON, UPLAND - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.217",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","HAY","HAY - PRICE RECEIVED, MEASURED IN $ / TON","TOTAL","NOT SPECIFIED","30.5",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","OATS","OATS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","0.77",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","RYE","RYE - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.76",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SORGHUM","SORGHUM, GRAIN - PRICE RECEIVED, MEASURED IN $ / CWT","TOTAL","NOT SPECIFIED","2.36",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","SOYBEANS","SOYBEANS - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","2.95",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.767",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, CIGAR WRAPPER GA-FL SHADE GROWN (TYPE 62) - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","2.7",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","TOBACCO","TOBACCO, FLUE-CURED GA-FLA BELT (TYPE 14) - PRICE RECEIVED, MEASURED IN $ / LB","TOTAL","NOT SPECIFIED","0.748",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.29",""
"SURVEY","1970","MARKETING YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","WHEAT","WHEAT, WINTER - PRICE RECEIVED, MEASURED IN $ / BU","TOTAL","NOT SPECIFIED","1.29",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - ACRES HARVESTED","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - ACRES PLANTED","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","271,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","282,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","BARLEY","BARLEY - YIELD, MEASURED IN BU / ACRE","TOTAL","NOT SPECIFIED","47",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN - ACRES PLANTED","TOTAL","NOT SPECIFIED","1,750,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,563,000",""
"SURVEY","1970","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CORN","CORN, GRAIN - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","78,009,000",""
