,Year,State,County,Data Item,Value
0,1989,GEORGIA,GLYNN,CORN - ACRES PLANTED,130
1,1989,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",130
2,1989,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8600
3,1989,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",66.2
4,1984,GEORGIA,GLYNN,CORN - ACRES PLANTED,130
5,1984,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",120
6,1984,GEORGIA,GLYNN,"CORN, GRAIN - ACRES PLANTED, NET",120
7,1984,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",6630
8,1984,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.3
9,1984,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",55.3
10,1983,GEORGIA,GLYNN,CORN - ACRES PLANTED,150
11,1983,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",130
12,1983,GEORGIA,GLYNN,"CORN, GRAIN - ACRES PLANTED, NET",130
13,1983,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5840
14,1983,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",44.9
15,1983,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",44.9
16,1982,GEORGIA,GLYNN,CORN - ACRES PLANTED,170
17,1982,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",140
18,1982,GEORGIA,GLYNN,"CORN, GRAIN - ACRES PLANTED, NET",140
19,1982,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",7700
20,1982,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55
21,1982,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",55
22,1981,GEORGIA,GLYNN,CORN - ACRES PLANTED,190
23,1981,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",180
24,1981,GEORGIA,GLYNN,"CORN, GRAIN - ACRES PLANTED, NET",190
25,1981,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",5550
26,1981,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.8
27,1981,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",29.2
38,1979,GEORGIA,GLYNN,CORN - ACRES PLANTED,180
39,1979,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",160
40,1979,GEORGIA,GLYNN,"CORN, GRAIN - ACRES PLANTED, NET",170
41,1979,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",8600
42,1979,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",53.8
43,1979,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / NET PLANTED ACRE",50.6
62,1976,GEORGIA,GLYNN,CORN - ACRES PLANTED,300
63,1976,GEORGIA,GLYNN,"CORN, GRAIN - ACRES HARVESTED",270
64,1976,GEORGIA,GLYNN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",15600
65,1976,GEORGIA,GLYNN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",57.8
